Epoch,Training Loss per batch ,Accuracy on Training set ,Accuracy on Training set abs,Validation Loss per batch ,Accuracy on Validation set,Accuracy on Validation set abs
1,1.593308,47.66808, [1574/3302],1.573702,59.166667, [213/360]
2,1.564335,60.115082, [1985/3302],1.540709,64.444444, [232/360]
3,1.533467,66.959419, [2211/3302],1.503432,70.555556, [254/360]
4,1.497248,69.049061, [2280/3302],1.457202,71.944444, [259/360]
5,1.449075,70.199879, [2318/3302],1.397213,71.944444, [259/360]
6,1.390283,70.230164, [2319/3302],1.32686,71.666667, [258/360]
7,1.327889,72.531799, [2395/3302],1.250893,71.666667, [258/360]
8,1.260658,71.926105, [2375/3302],1.21451,75.555556, [272/360]
9,1.210234,71.199273, [2351/3302],1.130849,71.944444, [259/360]
10,1.160303,70.13931, [2316/3302],1.083657,72.777778, [262/360]
11,1.110321,69.594185, [2298/3302],1.05933,70.833333, [255/360]
12,1.063732,68.958207, [2277/3302],1.000083,70, [252/360]
13,1.018342,70.59358, [2331/3302],1.002928,70, [252/360]
14,0.974129,70.623864, [2332/3302],0.947167,73.611111, [265/360]
15,0.938381,71.835251, [2372/3302],0.927514,71.111111, [256/360]
16,0.917921,72.804361, [2404/3302],0.908322,72.222222, [260/360]
17,0.895399,72.955784, [2409/3302],0.883754,75.833333, [273/360]
18,0.878838,73.137492, [2415/3302],0.899324,76.388889, [275/360]
19,0.855585,75.166566, [2482/3302],0.944468,79.444444, [286/360]
20,0.837056,75.529982, [2494/3302],0.913565,74.166667, [267/360]
21,0.803901,77.104785, [2546/3302],0.831634,75.555556, [272/360]
22,0.799081,77.104785, [2546/3302],0.825842,77.222222, [278/360]
23,0.766039,78.225318, [2583/3302],0.800206,76.944444, [277/360]
24,0.763334,77.407632, [2556/3302],0.821618,80.277778, [289/360]
25,0.742302,78.467595, [2591/3302],0.793906,78.611111, [283/360]
26,0.722765,78.982435, [2608/3302],0.834288,78.888889, [284/360]
27,0.703131,80.496669, [2658/3302],0.798315,80.277778, [289/360]
28,0.680301,80.860085, [2670/3302],0.852172,80.833333, [291/360]
29,0.644798,81.647486, [2696/3302],0.78861,78.055556, [281/360]
30,0.631307,82.586311, [2727/3302],0.992127,75, [270/360]
